question_id,correct_answer,hint,hint_score
25,The joy of giving,"She looked at the young man and smiled, ""I have nothing special in my bag, but I do have something p",0.3982599973678589
26,encouraging positive thinking may actually discourage people,Is there power in positive thinking?,0.42762866616249084
27,Wendy knew she was going to die,"""Wendy died last week, Mr. Peterson.",0.19326213002204895
28,treat the girl nicely a month ago,"I missed your little girl today and wondered where she was.""",0.22987961769104004
29,A person should enjoy each living day.,"""Oh,"" she said quietly, ""then this is a bad day.""",0.24477458000183105
30,How to teach a child about money.,"To set an appropriate allowance for your child, work up a weekly budget.",0.36977696418762207
31,feel responsible and careful about money,"Finally, add some extra money to make saving possible.",0.31775379180908203
32,paying children for their housework is no good,"It can be tough, but avoid excusing your children when they make a mistake with their allowance.",0.4050213396549225
33,a good characteristic,"A shy person may respond to a praise with a statement like this one:"" You're just saying that to mak",0.3256135841288864
34,They feel it is not true,It makes them feel inferior .They also find it difficult to be pleased by praises because they belie,0.14695204277727605
35,block our chances for a successful life,the easier it becomes to live up to our chances for a rich and fulfilling life.,0.23938733339309692
36,To advance Canada's honor and opportunities.,"--- they bring great honor and opportunity to the countries that award them,"" Pecaut said.",0.24580274858731457
37,be divided into four detailed parts,"""The idea here is that every year,the Canada prizes will be awarded to the very best promising emerg",0.14552463498300924
38,will have their performances broadcast on the TV,"A jury   of international experts would judge the 12 finalists,who would come to Canada and perform",0.1558886468410492
39,A Canada Prize for Arts,"The prize is the idea of Tony Gagliano and David Pecaut, founders of the Luminato festival,who were",0.3372591733932495
40,began to make clothes on her own,"Also, if you dream of having your own clothing line, the best thing to do is start wearing your clot",0.35410336880313026
41,Deciding what is unique about their clothes.,"In high school I started making my own clothes, mostly changing other things because I never liked a",0.2425791323184967
42,help people feel sure of themselves,"What I mean is that it's something close to you and something you can touch and feel, and actually i",0.36175912618637085
43,It can make information easily accessible to people.,The unusual experiment was launched because current data centers are unpleasantly inefficient.They'r,0.11094822734594345
44,are more environmentally friendly,,0.0
45,get the big reward.,"So the king asked to search for it and put a reward for$50,000 for anyone who found it.",0.16189563274383545
46,was not feeling good,"He came out and started walking away, feeling sad.",0.21423391997814178
47,On the tree,"The old man then told him that perhaps he should try looking upward, toward the branches of the tree",0.1769818663597107
48,Changing the way of thinking,"The clerk didn't want to share the secret with him, thinking he might take the necklace for himself,",0.19005414843559265
49,the passage didn't tell us clearly,,0.0
50,Camara was once in prison for six years.,"Camara, who was in stable condition at St. Barnabas Hospital, was later charged with the murder of R",0.4479735493659973
51,Camara and Morelli knew each other,"Policemen began dialing numbers from Morelli's cell phone and when Camara picked up, a detective rec",0.5445917174821499
52,She had stayed in the city for 5 years.,"Morelli left her hometown of Spoltore, Italy, five years ago to fully experience the arts and music",0.3370358347892761
53,He called to report a dead body.,Her body was later found in her E. 120th St. home.,0.28886353969573975
54,our own solar system,"Therefore, it is reasonable to guess that other stars, with their own planets, were born in the same",0.13529157638549805
55,Double stars can provide steady light and heat.,Only single stars that are steady sources of heat and light like our sun would qualify.,0.5063245911138818
56,Most of the planets of the stars.,"This eliminates double stars, or stars that flare up suddenly.",0.3765355050563812
57,life could exist on a great number of planets.,"Finally, life could evolve  only if the planet is just the right distance from its sun.",0.40844374895095825
58,4,"In studies done on cows, 4 out of 12 birth mothers died.",0.26833876967430115
59,Cloning may prevent people from possessing their identities.,"True, Cloning may prevent people from possessing their identities.",0.3539404571056366
60,cloning means running the risk of wasting too much effort,"cloning means running the risk of wasting too much effort
Cloning someone, at this present time, wou",0.4921630272462093
61,Human Cloning Is Wrong,I think human cloning is wrong mainly for four reasons.,0.3494367301464081
62,she felt it would change his behavior.,"He felt like saying, ""I wasn't born like this you know.",0.27919554710388184
63,he became an excellent professional soldier.,"The physical pain slowly disappeared; however, the emotional pain became worse.",0.29088547825813293
64,Brave and generous,,0.0
65,we have more and more industry,"Time is bringing us more people, and more people will bring us more industry, more cars, larger citi",0.2072503790852098
66,Industry.,"Time is bringing us more people, and more people will bring us more industry, more cars, larger citi",0.23815902971041378
67,the writer is worried about the future of our society,"There is a constant flow of people from the countryside into the cities, eager for the benefits of o",0.35203009843826294
68,they are anxious to enjoy the achievements of our society,The sad fact is that this becomes a true story when spoken of our modern society.,0.3727925419807434
69,the general existence of the sense of curiosity,This sense of wonder is universal.,0.30652105808258057
70,To warn us not to get lost in the fantasy world.,"This sense of wonder draws us to each other, to the world around us, and to the world of make-believ",0.4513653814792633
71,"Chocolate, a Healthy Food","Chocolate is good for your heart, skin and brain.",0.38685789704322815
72,how zoos have improved,"Circuses using wild animals are now almost extinct, and zoos have definitely evolved.",0.4132601320743561
73,Checking zoo conditions and arranging animal exchanges.,"As a child, visiting the zoo was more a punishment than a treat.",0.30119743943214417
74,Zoos now provide caring living conditions for animals.,"Consequently, today, most zoo animals are born and raised in zoos, live in large, comfortable enclos",0.3220465530947364
75,anxious,"That means that if you feel anxious and worried during an important examination, your heart may beat",0.17996323108673096
76,more men than women,"In many countries, heart disease kills a lot of women and even more men.",0.2714657485485077
77,responsibility,"When she graduated, she found a job where she
was part of a team as before, but where she had respon",0.18397733666079288
78,It involves decision-making.,,0.0
79,PS64.5,,0.0
80,Shirley Stewart,"Cost: PS75 for 10 lessons
Contact: Shirley Stewart 
Email: shirli  stewart@yahoo.com
Caterpillar mus",0.38852645735770175
81,The theme of the class changes every week.,The classes last 40 minutes and each week we have a different theme.,0.3717757761478424
82,his graduation from Harvard University,"He graduated from Harvard University, which sends few players to the NBA, and he is the only Chinese",0.2505231499671936
83,enter the field of literature,,0.0
84,stock market,Some of the most successful investors in the stock market are the ones that go against the grain (to,0.3352402448654175
85,to give us some useful suggestions,"In the same way, we can learn to trust our heart's desires and our sense to guide us, questioning an",0.31646281480789185
86,Before a Christmas.,Going Zero Waste means more than just managing the rubbish we create.It means reducing it too.While,0.26694929599761963
87,To copy the way Nature wastes nothing.,We need to copy the way Nature wastes nothing.Many things are created by human society that we know,0.3183903992176056
88,not making a plan before we shop,People who live Zero Waste lives are careful about what they do.They never take more than they need.,0.10201173275709152
89,To call on people to attend Zero Waste.,People who live Zero Waste lives are careful about what they do.They never take more than they need.,0.45242398977279663
90,Because more electronic devices are available to them.,"The jump is the result of a huge explosion in mobile devices, says Victoria Rideout, the lead author",0.24254046380519867
91,Cheryl Olson is not surprised about kids' increasing use of mobile devices,"Often, kids multitask, or use more than one device at a time. """,0.5434738397598267
92,Watching TV while using the computer.,"He also has a computer, a TV and three video-game consoles ( ) in his room.",0.36347371339797974
93,kids should do homework in a place without disturbance,"Some kids listen to music, watch TV or use the phone while doing their homework.",0.33471250534057617
94,L-theanine,,0.0
95,the body to produce more interferon,The coffee drinkers did not produce interferon.,0.2507554292678833
96,further study is needed to prove the findings true,"In the second part of the study, eleven people drank five to six cups of black tea every day.",0.32320642471313477
97,Tea May Help Fight Infection,Antigens help the body react to infection.,0.508986234664917
98,The Influence of Geographical Environment on Man,But these commonplace generalizations are inadequate: the influence of climate and geography should,0.27440765500068665
99,substances which act positively or negatively on man's health,"Where all the inhabitants of a particular area enjoy exceptionally good or bad health, scientists ha",0.26002559065818787
100,go much deeper,,0.0
101,gain an insight into its influence on mankind,A subject which seems to have been insufficiently studied by doctors and psychologists is the influe,0.21729349585559316
102,sugar-sweetened soft drinks,"""Children who eat less salt and drink fewer sugar-sweetened soft drinks may significantly lower thei",0.3151425317382183
103,a lower-salt diet may mean less sugar-sweetened soft drink consumption,"""Children who eat less salt and drink fewer sugar-sweetened soft drinks may significantly lower thei",0.433655290205124
104,A low-salt diet may prevent both high blood pressure and obesity.,"""Both high blood pressure and obesity increase the risk of having strokes and heart attacks,"" Dr He",0.43219467997550964
105,Parents.,Dr He recommends that parents check labels and choose low-salt food products.,0.2564955949783325
106,3.,,0.0
107,To face something far less pleasant.,"It is something far less pleasant, like being called in by your boss to explain why you did this and",0.3462931513786316
108,held.a positive attitude towards an active life,"To me,that has been a challenge from my earliest recollections (memories).In fact,the battle of life",0.2806679606437683
109,"If you cease to struggle,you cease to live.",,0.0
110,an autobiography,,0.0
111,In a park in the mountains.,Garland Valley is close to the town of Garland but is part of the National Park.,0.41402485966682434
112,A sleeping bag.,,0.0
113,Discovery Trips in the Blue Mountains,The mountains are a dangerous place.,0.5258545875549316
114,travel by Jalan Hisamuddin,"At the fifth mile Jalan Tengku, the water is not two metres deep.",0.24619293212890625
115,higher ground,People moving to higher ground were just in time to escape from the flood.,0.29017308354377747
116,in Tulang,,0.0
117,get worse,,0.0
118,Marco spent about six years on the way to China and back to Venice.,"The Polos finally returned to Venice in 1295, twenty-four years after setting off.They had traveled",0.467558890581131
119,a history book,"The Polos finally returned to Venice in 1295, twenty-four years after setting off.They had traveled",0.2203274667263031
120,Make written communication.,And there are many easy and convenient ways to make reading a part of each day -- even when it's tou,0.2114170804855757
121,Finding reading moments,Finding time to read is an important part of developing reading and writing skills for all kids.,0.3692215085029602
122,he was one of the author's fans,"He just talked about his hopes for the future, and how one day he wanted to lift weights with me.",0.18935230374336243
123,Matthew was an optimistic and determined boy,I spent over an hour talking to Matthew.,0.386144757270813
124,he would not be pitied by others,"I was told it would mean a great deal to him, so I agreed.",0.27183241128065105
125,A real champion.,"He said, ""You are a champion.",0.26479968428611755
126,Karni's findings are based on comparisons between two groups of participants,"""After a night's sleep the two groups were at the same level, but the group that slept in the aftern",0.4776275154338148
127,a science site,,0.0
128,digital tools bring about benefits and problems,"""Teachers really favor these tools because they are ways to make some of the learning exciting and e",0.39828526973724365
129,they can get answers on the Internet quickly,The Pew Internet Project did the survey with the National Writing Project.Judy Buchanan is the vice,0.24477507174015045
130,sleep in bed,,0.0
131,7,"They said that the area of northwestern Beijing, the joint of Shanxi and Hebei Provinces and the Inn",0.18252527713775635
132,the people had been warned earlier,Tens of thousands of people died or were injured.,0.287916362285614
133,Nothing can be done on earthquakes,"They said that the area of northwestern Beijing, the joint of Shanxi and Hebei Provinces and the Inn",0.3030533492565155
134,To write down a flash of inspiration.,,0.0
135,It needs to be replaced by a better one.,"My mother smiles and says, ""One day I was cooking and watching baby Pauline, and I had a brilliant t",0.26443547010421753
136,not making good use of time as her mother did,"""You still use a pencil.",0.2879882752895355
137,keen on her research,,0.0
138,on their horses,,0.0
139,Alexander was very ready to listen to anybody including his officers and soldiers.,"Alexander grew to be a handsome, brilliant  man.",0.3700922429561615
140,Alexander the Great,Alexander the Great was a mighty  king and conqueror .,0.46274471282958984
141,Captain's Chair.,Among the winners: the bicycle movements -- so called because it looks as if you are riding a bike w,0.18151815235614777
142,how big their muscles will be is determined by birth,"They determined that the muscles were no more active, and in some cases less so, when exercisers wer",0.21794315926847904
143,presenting findings of researches,,0.0
144,To promote proven exercise techniques and to advise against false advertisements.,"In its new study, the exercise experts researched on the results of the popular Ab-Doer.",0.40519049763679504
145,The Maldives is considering ways to fight against the global warming.,"The Maldives faces the threat of extinction from rising sea levels, but the government said on Thurs",0.45508949035799884
146,The Hulhumale is an artificial island to be built near the capital.,The Maldives began work on an artificial island known as the Hulhumale near the crowded capital isla,0.4025776177151487
147,To build more artificial islands for people to settle there.,"The Maldives faces the threat of extinction from rising sea levels, but the government said on Thurs",0.3522263003499093
148,a decrease in death rates,"In fact, it is a decrease in death rates, not an increase in birthrates, that has led to the populat",0.19720563418849513
149,the survival of infants was less important than that of their parents in times of starvation,"In times of
 , infants might be allowed to die because they could not survive if their parents starv",0.30104047819598667
150,Many of them live on social security money which is hardly enough.,We have a great many people today who live past the age at which they want to work or are able to wo,0.260025292634964
151,a nurse,"Luna and Mayer are now soul mates, spending most afternoons together once the teen--who dreams of be",0.3069151043891907
152,a German girl training a cow successfully,"Hours of training ,and tons of treats later, the results are impressive: not only do the two regular",0.3748687207698822
153,relied on others' sympathy   before,,0.0
154,got everything he wanted without delight,"Maybe I haven't gotten everything I've wanted, but I've done a load of interesting things.""",0.22969907522201538
155,agreeable,,0.0
156,He was greatly influenced by Pipo.,"Pipo was very poor; he had no home and no family, so he made a living however he could.",0.27301648259162903
157,on 12 December in New York,Swift will receive the prize at the Billboard Women in Music award ceremony on 12 December in New Yo,0.14768918648343038
158,Taylor Swift is worthwhile to be given the award a second time,Taylor Swift is a seven-time Grammy winner and the best-selling digital music artist of all time.,0.4176965355873108
159,the brains behind Bai Du,"If a family has many children but one of them is super smart, you could say, ""She's the brains in th",0.39087805439881257
160,Because he got his brain trust.,We all know what a brain is.,0.3659437596797943
161,Brainwash,To brainwash means to make someone accept new beliefs by using repeated pressure in a forceful or tr,0.28201528725001124
162,Saxon Youth Club,"Saxon Youth Club
School holiday fun: young people aged 13-19 will be able to produce their own music",0.32417595386505127
163,PS20,Family PS20.,0.33652228116989136
164,Playing farmland games.,"Farmland Museum and Denny Abbey
Farmland Games: from Wellie Wanging to Pretend Ploughing matches, co",0.2843768894672394
165,A charity dinner held in Beijing by Mr. Buffett and Mr. Gates.,"As with four earlier dinners held in the United States, Mr. Buffett and Mr. Gates said, no one at th",0.4800596238421008
166,China has the largest number of dollar billionaires in Asia,China is widely reported to be second only to the United States in the number of dollar billionaires,0.49219030141830444
167,become more confident in themselves,"Entertainmet has become rather passive with cinema, television, and computer games becoming more pop",0.29642598890041805
168,Last month.,"""English may be the global language of business but it is not enough by itself for companies to gain",0.07630985975265503
169,Japanese.,,0.0
170,English is increasingly eclipsing French.,"The study says French is used to trade with partners in Africa, Spanish in Latin America, and Russia",0.3089486360549927
171,Do Study Many Languages besides English,"""English may be the global language of business but it is not enough by itself for companies to gain",0.4692600667476654
172,A great many rabbits eat too much trees.,"Australia's worst pests are the rabbits, introduced by a settler who released 24 into the wild for s",0.3794170320034027
173,Disease,"The spread of the rabbits' disease in 1950 cut the number, but it was not until 1997 when the spread",0.10428476333618164
174,rabbits and red foxes,"The European red foxes, also released for sport hunting, are growing and eating sheep flocks, costin",0.2474101105046059
175,be less healthy both physically and mentally,,0.0
176,the natural experience in their growing up,"Without having a nature experience,kids can turn out just fine,but they are missing out a huge enric",0.32258321462803863
177,show his concern about children's lack of experience in nature,"Without having a nature experience,kids can turn out just fine,but they are missing out a huge enric",0.2996494691493086
178,is attended mainly by the people in the Sahara.,"It is well attended by tourists, but even better attended by locals.",0.3683210015296936
179,"musicians, officials, camels and horses","Camels and riders run far into the distance, and then return to the Finish Line in front of the chee",0.263108847917959
180,what happens on the opening day of the Sahara Festival,"Towards the evening, there comes the grand finale of the opening day, an extremely exciting horserac",0.5374545258635409
181,You know.,"""Whatever"" easily beat out ""you know,"" which especially annoyed a quarter of interviewers.",0.22593306005001068
182,Almost half of the Americans surveyed disliked it.,The popular term of indifference was found most annoying in conversations by 47 percent of the Ameri,0.33769157493034424
183,it carries certain negative meaning sometimes,"',Adams, who didn't take part in the poll and is not annoyed by ""whatever,"" points out that its use",0.19167350232601166
184,Adams is not only a writer but also a professor.,"""It doesn't surprise me because 'whatever,is in a special class, probably,,,said Michael Adams, auth",0.3017780424785109
185,apply for a mailbox,How to apply for a free mailbox?,0.3960447311401367
186,ecpjyb,,0.0
187,set up a free email-box,"Some mailboxes are provided free of charge by ISPs, which you can get when you open an Internet acco",0.41643249423509354
188,Expect to work.,Expect to work.,0.5253605246543884
189,You won't make good progress unless you set big targets,Set targets.,0.5034417510032654
190,Because it means that you will enjoy school and learn more.,Be interested in school-life and your school subjects.,0.35921797156333923
191,the world of fantasy frightens us,"That is why, every once in a while, we like to escape into the world of fantasy -- a place where thi",0.19105870511891002
192,they possess powers that ordinary people don't have,"We want to believe in magic powers, good friends, and the power of good to overcome evil.",0.2907102108001709
193,explain why people like to read it,"That is why, every once in a while, we like to escape into the world of fantasy -- a place where thi",0.29995879194988095
194,Snacking between the meals.,"Away from the daily routine at work that helps them keep control of what they eat, they are snacking",0.2626417577266693
195,get their efforts to lose weight ruined by over-eating on weekends,Consuming this amount would see men and women get through half their weekly calorie intake over the,0.2673813998699188
196,Weekends are vital for diets.,"A spokesman from Forza Supplements, the diet company that conducted the survey, said, ""We all have b",0.4449910819530487
197,"To report new findings about migrating birds' ""V"" formations.",Scientists have been puzzled by the phenomenon that migrating birds fly not just in groups all the t,0.4094480574131012
198,"they form the shape of a ""V"" to make best use of the lifting effect","Apart form the ""free ride"" strategy, scientists were also surprised to observe that migrating birds",0.2806626005576027
199,It might inspire aircraft companies to think of ways to improve efficiency.,But it could mean even more for aircraft companies -- helping them understand how they can _ that wi,0.46995420689857703
200,you book a table beforehand and check to be properly dressed,"Also, be sure to check to see if you need to be properly dressed and tell your friend ahead of time",0.29495880007743835
201,making sounds to show how much you enjoy food,"You will feel embarrassed to show up without booking and having to wait for a table, leaving very ba",0.262736052274704
202,the writer of the passage favors those dining manners,"When your food arrives, proper dining manners make you eat at a right pace so that you have time to",0.41759294271469116
203,dining manners,"When dining, keep your eyes on your friend at all times and try to smile between mouthfuls.",0.49966496229171753
204,They have studied for years to get qualified.,"What the doctor, the engineer and the teacher have in common is that they have devoted several years",0.2967070937156677
205,People should find a proper ratio between high and low pay.,"Although the amount of money that people earn is largely determined by market forces, this should no",0.351087361574173
206,Lincoln's favorite story,Lincoln's eyes always _ when he reached this part of the story.,0.48907026648521423
207,was not handsome,,0.0
208,his appearance,,0.0
209,"Lincoln, even though great, was not proud.",But even more delightful was the fact that a man as great as Lincoln could still laugh at himself.,0.38824406266212463
210,To share wonderful things with the king.,"He set off, walking towards the king's castle.",0.23514099419116974
211,kind,,0.0
212,develop children's ability to treat their fear on their own,"Fear is an emotion like others such as happiness, anger, hurt, sadness.",0.2810060381889343
213,some childhood fears may have a lasting influence,Being afraid of the consequence of a choice may prevent us getting into trouble.,0.3662961721420288
214,Children's Fears,"Children's fears are often _ , but that doesn't mean they should be ignored.",0.4858340322971344
215,People should cut down on sugar intake for the sake of their health.,"The guidelines, released on Wednesday, advise that both adults and children cut back on their sugar",0.2856055498123169
216,5%.,"For developing countries, where dental care is less advanced, the WHO recommends that sugar intake b",0.03360570967197418
217,"the less exercise you do, the fewer sweet things you should eat","For developing countries, where dental care is less advanced, the WHO recommends that sugar intake b",0.4200969636440277
218,He was out of work,,0.0
219,an old man's car broke down,"When Jimmy finished working on the car, the old man asked him how much he should pay for the service",0.24170435965061188
220,He was thankful to Jimmy,Jimmy immediately went up to lend him a hand.,0.2779994308948517
221,There was no hope for him to get the job,"One day, he gathered up all his strength and decided to attend a job interview.",0.22596225142478943
222,Good is rewarded with good.,"He has a good heart, but always feared applying for a new job.",0.22758641839027405
223,Mobile devices create a lot of divided attention and social anxiety.,Americans are connected at unprecedented  levels--93% now use cell phones or wireless devices; one t,0.4146324575650842
224,She had an experiment done to lift a large stone by using pulleys and a kite.,"Yesterday, in the Mojave Desert, they put their theory to the test using a nylon kite, three pulleys",0.37299349904060364
225,The wings on the monuments.,"""If you look at ht top center of every monument  , you see wings,"" Clemons said.",0.28285877557738326
226,Because of the Egyptians' habit of drinking beer at three meals and the beer effect on people.,"""All I can remember from history is that Egyptians drank beer for breakfast, lunch and dinner, and a",0.31481555104255676
227,Kites and Pyramids,She thinks the Egyptians may have used kites.,0.4421142637729645
228,"Being Palestinian leader, Arafat would rather die in his own country than be driven away from his people.","Arafat himself said: ""They can kill me, but never get me out of my country.""",0.34947893023490906
229,Arafat can stay alive after accidents or disasters as if he has nine lives.,But has he used up the last of his nine lives?,0.25749823451042175
230,Doubtful.,,0.0
231,Molten rock flowing into the continental gap.,"""This molten rock rises through the crust because it is less dense than the surrounding rock.""",0.43951104279587855
232,the cause why the Red Sea is parting again,"The Red Sea is parting again, but this time no one can help.",0.5072258114814758
233,both A and C,,0.0
234,No other film center made more films than Hollywood did.,"Hollywood in America, made more films than any other film center in the world.",0.4958838224411011
235,film-making there was cheap and easy,The warm climate and long hours of sunlight meant that film-making was easy and quite cheap.,0.4927334189414978
236,funny,,0.0
237,had the most exciting experiences,,0.0
238,not disturbed by the gorilla,He treated him politely and pretended there was nothing at all strange about having a gorilla in his,0.2105574607849121
239,Henry didn't normally serve customers,Henry had been a journalist for many years.,0.24628597497940063
240,surprised by the prices,He liked to say that nothing surprised him.,0.34690049290657043
241,The kneeling man.,It was time for me to leave the kneeling man and the Wall.,0.38263267278671265
242,he missed the loved one who died in a war,"I wasn't sure of the effects of war before, but at that moment I realized how much that man suffered",0.19881416857242584
243,What bad effects war had on many families.,Maybe he was the only one of so many families who experienced the same .,0.40457865595817566
244,in the morning,,0.0
245,They were busy working in the control room.,They were all busy with their work and did not see her.,0.36685141921043396
246,The old lady didn't find the ladies' lavatory.,"""But there are four men in the ladies' lavatory watching television.""",0.3979979157447815
247,was fair and respectable,,0.0
248,are more expensive,"However, there are still companies that take great pride in their handmade designs; and while handma",0.16587407591745357
249,A popular toy -- Teddy Bear.,Teddy Bears have been a very popular children's toy for many years.,0.5061482787132263
250,children often wear new clothes,"People sing, dance and parade as in a carnival through the streets with drums and trumpets to spread",0.2855052053928375
251,Nowroz and the Bahai New Year.,Bahai New Year: The Bahai people have their own calendar consisting of nineteen months of nineteen d,0.29261624813079834
252,people whose children like fishing,"So, join in the fun, catch the excitement of your child on film while fishing and enter his or her p",0.2928754687309265
253,celebrate a national fishing-related activity,The contest is sponsored by Virginia Department of Game and Inland Fisheries (VDGIF) in celebration,0.15169885754585266
254,to ask for grants,The government has increased the size of its grants  to lower-income students.,0.18473295867443085
255,famous colleges charge their students more money,"This puts upward pressure on tuition, hut many colleges feel that good fame will enable them to attr",0.4363282037546151
256,college fees rise too fast for poor families.,"Every autumn, as families across the United States get ready to send their kids to college, the econ",0.38981961605016724
257,Because she didn't like the greedy owner.,"Since the owner was so greedy and unwilling to share his good fortune, I asked God if I could seal t",0.1602952629327774
258,the older angel treated the two families unfairly,"As they made their bed on the hard floor, the older angel saw a hole in the wall and repaired it.",0.17515291273593903
259,Because she wanted to save the farmer's wife.,"When the sun came up the next morning, the angels found the farmer and his wife in tears.",0.19040906429290771
260,Doris Lessing wins the Nobel Prize for Literature,"At 87, Doris Lessing is the oldest Nobel Literature winner sine the first prizes were awarded in 190",0.4221427608901806
261,life in Africa in her early age lays a solid foundation for her writing,"Doris Lessing was born in 1919 in Persia, moving as a child with her family to southern Rhodesia, no",0.316210829741609
262,she makes great contributions to equal rights for women,"""She is one of the few writers who have had the courage to uphold the principle of equality between",0.2854680120944977
263,build a strong and healthy heart,"One type of exercise may not accomplish all goals of being physically fit: a healthy heart, strong m",0.22019334137439728
264,The three kinds of training have links with one another,"Typical types include:
* Running
* Walking (at least 4 to 4.5 mph)
* Swimming
* Bikingk3s5u
* Ellipt",0.3437996648137083
265,25.,,0.0
266,The environment and artwork there are very easy to damage.,"However, its environment and drawings are too fragile to be visited by human beings.",0.2200881540775299
267,offer visitors chances to view the wonderful artwork,"So the cave is closed, and only people there for scientific purposes can go inside and see the artwo",0.24048828069483755
268,They study at home rather than in classrooms.,"Instead, they receive their elementary and high school education by working at home on computers.The",0.3018292486667633
269,It is hard to know students' progress in learning.,They also say it is difficult to know if students are learning well.,0.30516311526298523
270,their students can work at their own speed,Other educators praise this new form of education for letting students work at their own speed.,0.2925942838191986
271,unprejudiced in his description of cyberschools,Some educators say cyberschools receive money that should support traditional public schools.,0.39262069800571986
272,A sudden storm started with thunder and lightning.,Organizations from the Red Cross to the International Monetary Fund have started fund-raising drives,0.36834282600176727
273,Terrible Quake Hits South Asia,"The worst earthquake in 40 years shook South Asia on Sunday, starting with horrible waves that swept",0.4800903797149658
274,In a newspaper.,,0.0
275,Cooperation learning.,"New results from a 3-year project working with over 400 pupils, mostly 8-10 year olds, show that coo",0.16701753620672238
276,It can be helpful in both learning and teaching.,"New results from a 3-year project working with over 400 pupils, mostly 8-10 year olds, show that coo",0.23797209026964392
277,solve problems inventively,"Using multi-touch desks in the new classroom, the children were able to work together in new ways to",0.2088694095224464
278,positive,,0.0
279,The first sentence of the first paragraph.,"For example, in order to milk their cows, farmers must first drive them into the special barn , then",0.24084481596946716
280,Farmers mainly use machines on their farms at present.,A few forward-looking farmers are already using computers to help them run their farms more efficien,0.43855295286148405
281,milking cows,"For example, in order to milk their cows, farmers must first drive them into the special barn , then",0.263483464717865
282,Revolution on the farm,"On the farm of today, machines provide all the power.",0.4285866320133209
283,where weather forecasts are made,"For the weather, he visits www.intellicast.com.",0.5200852751731873
284,learn the ability to tell right behaviors from wrong ones.,"However, if Smarter Child wants to think and learn on his own like the boy-computer David in the mov",0.1529409671010827
285,Smarter Child,"For example, Smarter Child knows every baseball player in every team this season.",0.35248830914497375
286,the problems of friendship,Most problems with friendships come up because people are just too selfish to care about the things,0.4243703782558441
287,one is selfish,"Even though being selfish is something that all humans are born with, it is something that everyone",0.2732786536216736
288,to treat your friend as you like to be,"Even if you're always thinking about how you'd like to be treated, and your friends are too, there a",0.29161542654037476
289,To build stronger and healthier friendships.,"Even if you're always thinking about how you'd like to be treated, and your friends are too, there a",0.2260984480381012
290,Kobe was the only role model for all the blacks,"However, Bill Bank, an expert of African-American Studies, says that eventually young blacks need to",0.27837899327278137
291,it's better for young blacks to find role models in those who are close to them,Obama's victory appears to have given blacks and other minorities a true national role model.,0.3141968250274658
292,The First African-American President,But what will the first 47-year-old African-American president do for race relations?,0.5970874428749084
293,The other three leaders all support Obama.,And the work for US president-elect Barack Obama has begun.,0.26817238330841064
294,led an unhappy life when she was a child,"It must have been a dull and lonely life too, for she stayed mainly at home during her childhood, wh",0.23561360685999452
